Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|14/01/2025|Vente en l'état futur d'achèvement|238862,56||||B221|MARBOZ|1851|MARBOZ|01|232||D|2750||17||||||||||1||||||||
|||||||000001|24/01/2025|Vente|362000,00|7||RUE|0097|DES JACQUES|1540|VONNAS|01|457||A|3657||||||||||||0|1|Maison||135|5|AG||993
|||||||000001|24/01/2025|Vente|362000,00|7||RUE|0097|DES JACQUES|1540|VONNAS|01|457||A|3657||||||||||||0|1|Maison||135|5|S||500
|||||||000001|17/01/2025|Vente|362000,00|16|B|RTE|0321|DE JAILLEUX|1120|MONTLUEL|01|262||D|1503||1||||||||||1|1|Maison||98|4|S||428
|||||||000001|17/01/2025|Vente|362000,00|16|B|RTE|0321|DE JAILLEUX|1120|MONTLUEL|01|262||D|1503||1||||||||||1|3|Dépendance||0|0|S||428
|||||||000002|22/01/2025|Vente|135000,00||||B099|PIZAY|1120|PIZAY|01|297||A|1798||||||||||||0||||||AB||482
|||||||000001|10/01/2025|Vente|175000,00||||B034|CHAMPEL|1270|COLIGNY|01|108||AC|61||||||||||||0||||||S||94
|||||||000001|10/01/2025|Vente|175000,00|5193|||B034|CHAMPEL|1270|COLIGNY|01|108||AC|63||||||||||||0|1|Maison||148|3|S||74
|||||||000001|10/01/2025|Vente|175000,00||||B034|CHAMPEL|1270|COLIGNY|01|108||AC|65||||||||||||0||||||S||95
|||||||000001|10/01/2025|Vente|175000,00||||B034|CHAMPEL|1270|COLIGNY|01|108||AC|66||||||||||||0||||||S||74
|||||||000001|20/01/2025|Vente en l'état futur d'achèvement|350000,00||||B017|LES CONTAMINES|1170|GEX|01|173||AK|211||5|63,45|||||||||1||||||||
