Index,Valeur fonciere,Commune,Code departement,Section,Nombre de lots,Surface reelle bati
1254,157000.0,NICE,6,NE,1,-1.0060174793909435
1255,646000.0,NICE,6,NW,1,0.2787592531900388
1257,145000.0,NICE,6,IM,2,-0.10320139703673974
1259,163000.0,NICE,6,IM,2,-0.4851620472635183
1261,107000.0,NICE,6,MR,2,-0.17264878798706312
1264,255000.0,NICE,6,IX,2,0.5565488169913323
1268,270000.0,NICE,6,IY,2,0.6259962079416557
1269,254600.0,NICE,6,LS,1,-0.7282279155896502
1272,277000.0,NICE,6,KT,1,-0.7629516110648118
1273,37500.0,NICE,6,IV,1,-1.2490833477170755
1276,190000.0,NICE,6,MP,2,-0.03375400608641637
1277,151522.0,NICE,6,KO,1,-0.9712937839157819
1278,270000.0,NICE,6,EA,1,1.1815753355442427
1282,354060.0,NICE,6,LO,2,0.6607199034168174
1284,260000.0,NICE,6,LX,1,1.3204701174448894
1286,34740.0,NICE,6,IY,2,-0.34626726536287156
1287,811000.0,NICE,6,LR,2,1.9454966359977999
1291,419500.0,NICE,6,NE,1,-0.13792509251190144
1293,80000.0,NICE,6,OE,1,-1.3532544341425605
1294,225000.0,NICE,6,LS,1,0.0009696893887453212
1297,137000.0,NICE,6,EB,2,-0.2768198744125482
1300,245000.0,NICE,6,LB,1,1.6677070721965064
1302,204784.69,NICE,6,NS,1,-0.4851620472635183
1303,129000.0,NICE,6,HD,2,-0.4851620472635183
