Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|14/02/2025|Vente|33000,00|14||RUE|1560|COLONEL DRIANT|6100|NICE|06|88||EC|445||14||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||69|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||73|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||71|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||69|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||73|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||35|2|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||39|1|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||56|2|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||69|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||71|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||73|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||69|3|S||497
|||||||000001|27/02/2025|Vente|4231774,50|11||RUE|3615|DE LEPANTE|6000|NICE|06|88||LB|122||||||||||||0|2|Appartement||71|3|S||497
